#casa,#gols_c,#gols_v,#visitante,#pp,#iv,#iv%,#renda_L,#renda_B
Cruzeiro-MG,2,1,Athletico Paranaense-PR,10.693,10.693,100,"R$ 158.193,06","R$ 245.910,00"
Palmeiras-SP,3,2,Atlético Mineiro-MG,29.246,29.246,100,"R$ 1.177.618,20","R$ 1.907.270,12"
Sport-PE,1,2,Fluminense-RJ,7.542,7.542,100,"R$ 85.168,89","R$ 171.595,00"
Vasco-RJ,1,0,Grêmio-RS,7.567,8.704,87,"R$ -42.611,44","R$ 171.160,00"
Bahia-BA,4,1,Vitória-BA,24.312,24.558,99,"R$ 181.964,36","R$ 453.426,00"
Paraná-PR,1,0,América Mineiro-MG,3.217,3.217,100,"R$ -27.535,10","R$ 63.515,00"
São Paulo-SP,3,1,Corinthians-SP,58.624,61.739,95,"R$ 1.702.512,61","R$ 2.186.542,50"
Flamengo-RJ,2,0,Botafogo-RJ,39.261,39.908,98,"R$ 46.031,34","R$ 1.121.892,60"
Ceará-CE,0,2,Bahia-BA,9.78,10.42,94,"R$ -47.114,68","R$ 40.300,00"
Athletico Paranaense-PR,1,0,Vasco-RJ,11.119,11.119,100,"R$ 12.628,62","R$ 234.605,00"
América Mineiro-MG,2,1,Internacional-RS,3.458,5.053,68,"R$ -75.173,78","R$ 32.026,00"
Grêmio-RS,2,1,São Paulo-SP,19.865,19.865,100,"R$ 562.276,50","R$ 695.732,00"
Botafogo-RJ,1,0,Chapecoense-SC,6.913,7.581,91,"R$ -228.079,10","R$ 128.550,00"
Vitória-BA,1,0,Sport-PE,5.706,6.736,85,"R$ 2.613,29","R$ 57.706,50"
Corinthians-SP,2,0,Cruzeiro-MG,21.031,21.031,100,"R$ 448.130,90","R$ 840.676,01"
Santos-SP,1,1,Flamengo-RJ,11.843,11.843,100,"R$ 142.817,35","R$ 292.847,00"
Atlético Mineiro-MG,2,0,Paraná-PR,18.143,19.469,93,"R$ 169.441,58","R$ 262.820,00"
Fluminense-RJ,1,0,Palmeiras-SP,21.462,22.314,96,"R$ 29.757,43","R$ 565.430,00"
Bahia-BA,2,2,Atlético Mineiro-MG,15.993,16.681,96,"R$ 90.177,33","R$ 275.277,00"
Santos-SP,0,1,América Mineiro-MG,8.691,8.691,100,"R$ 28.215,11","R$ 155.868,00"
Chapecoense-SC,1,1,Grêmio-RS,13.659,13.659,100,"R$ 554.223,76","R$ 681.095,00"
Internacional-RS,3,0,Botafogo-RJ,25.77,25.77,100,"R$ 520.747,02","R$ 753.455,00"
Flamengo-RJ,4,1,Sport-PE,53.591,54.09,99,"R$ 299.821,41","R$ 1.506.319,60"
Athletico Paranaense-PR,4,0,Vitória-BA,8.697,8.697,100,"R$ -31.548,27","R$ 155.230,00"
Cruzeiro-MG,0,2,São Paulo-SP,21.304,21.433,99,"R$ 459.586,57","R$ 641.978,00"
Palmeiras-SP,3,0,Paraná-PR,35.776,35.776,100,"R$ 1.771.669,20","R$ 2.565.986,14"
Vasco-RJ,1,4,Corinthians-SP,33.516,33.516,100,"R$ 450.000,00","R$ 1.823.665,00"
Ceará-CE,1,0,Fluminense-RJ,11.119,11.639,96,"R$ 6.858,38","R$ 101.067,00"
Atlético Mineiro-MG,0,1,Internacional-RS,21.327,21.744,98,"R$ 224.637,16","R$ 334.995,00"
Sport-PE,1,1,Chapecoense-SC,3.938,3.938,100,"R$ 18.965,00","R$ 81.640,00"
Fluminense-RJ,1,1,Bahia-BA,15.461,16.324,95,"R$ -100.923,44","R$ 392.845,00"
São Paulo-SP,2,1,Vasco-RJ,53.437,57.142,94,"R$ 1.412.388,06","R$ 1.863.410,00"
Vitória-BA,1,1,Cruzeiro-MG,7.193,8.212,88,"R$ 19.264,11","R$ 86.183,00"
América Mineiro-MG,0,0,Palmeiras-SP,6.514,8.155,80,"R$ -41.904,18","R$ 86.756,00"
Paraná-PR,0,1,Ceará-CE,8.639,8.639,100,"R$ 22.038,83","R$ 162.275,00"
Corinthians-SP,0,0,Athletico Paranaense-PR,28.455,28.455,100,"R$ 673.520,61","R$ 1.087.600,64"
Grêmio-RS,2,0,Flamengo-RJ,14.649,14.649,100,"R$ 391.154,05","R$ 499.161,00"
Botafogo-RJ,0,0,Santos-SP,6.261,6.848,91,"R$ -235.961,70","R$ 122.665,00"
Fluminense-RJ,0,3,Internacional-RS,13.735,14.665,94,"R$ -142.285,29","R$ 351.130,00"
Grêmio-RS,4,0,Vitória-BA,16.146,16.146,100,"R$ 344.731,29","R$ 446.803,00"
Palmeiras-SP,1,0,Vasco-RJ,30.012,30.012,100,"R$ 1.258.422,00","R$ 1.930.884,80"
Sport-PE,1,3,São Paulo-SP,12.286,12.286,100,"R$ 190.516,25","R$ 311.135,00"
Flamengo-RJ,1,0,Cruzeiro-MG,50.402,51.769,97,"R$ 319.186,73","R$ 1.530.899,60"
Chapecoense-SC,2,1,Corinthians-SP,9.367,9.367,100,"R$ 239.583,40","R$ 324.005,00"
Paraná-PR,1,1,Botafogo-RJ,4.831,4.831,100,"R$ -13.419,76","R$ 95.680,00"
Atlético Mineiro-MG,3,1,Santos-SP,21.261,21.65,98,"R$ 239.137,13","R$ 369.140,00"
Bahia-BA,1,0,América Mineiro-MG,19.1,19.454,98,"R$ 179.956,01","R$ 375.746,00"
Ceará-CE,0,0,Athletico Paranaense-PR,13.772,14.269,97,"R$ 102,00","R$ 105.166,00"
Vasco-RJ,1,1,Ceará-CE,15.093,15.884,95,"R$ 131.747,35","R$ 378.105,00"
São Paulo-SP,2,0,Chapecoense-SC,41.075,45.041,91,"R$ 981.866,17","R$ 1.348.906,00"
América Mineiro-MG,0,0,Fluminense-RJ,3.443,6.561,53,"R$ -70.565,05","R$ 32.872,00"
Botafogo-RJ,0,3,Atlético Mineiro-MG,7.465,8.319,90,"R$ -233.789,54","R$ 155.440,00"
Vitória-BA,0,3,Palmeiras-SP,8.822,10.435,85,"R$ 41.416,62","R$ 112.783,00"
Cruzeiro-MG,1,1,Bahia-BA,24.127,24.209,100,"R$ 280.241,29","R$ 387.435,00"
Internacional-RS,1,0,Paraná-PR,39.693,39.693,100,"R$ 933.294,89","R$ 1.220.310,00"
Athletico Paranaense-PR,3,0,Flamengo-RJ,20.146,20.146,100,"R$ 433.078,29","R$ 744.350,00"
Corinthians-SP,0,1,Grêmio-RS,32.583,32.583,100,"R$ 1.090.603,73","R$ 1.621.165,44"
Santos-SP,3,0,Sport-PE,10.991,10.991,100,"R$ 31.983,78","R$ 185.210,50"
Chapecoense-SC,2,1,Athletico Paranaense-PR,3.56,3.56,100,"R$ 30.806,82","R$ 78.150,00"
Atlético Mineiro-MG,0,0,Vasco-RJ,20.903,20.903,100,"R$ 258.109,00","R$ 381.840,00"
Flamengo-RJ,1,0,Vitória-BA,48.757,49.721,98,"R$ 33.432,81","R$ 1.090.353,60"
Grêmio-RS,1,1,Cruzeiro-MG,12.773,12.773,100,"R$ 303.247,46","R$ 398.680,00"
Fluminense-RJ,1,0,Corinthians-SP,7.856,9.031,87,"R$ -268.973,69","R$ 199.795,00"
Palmeiras-SP,2,0,Botafogo-RJ,24.882,24.882,100,"R$ 827.212,51","R$ 1.446.357,26"
Sport-PE,0,2,América Mineiro-MG,10.753,10.753,100,"R$ 41.373,95","R$ 112.605,00"
Bahia-BA,0,1,Internacional-RS,18.671,19.085,98,"R$ 145.533,05","R$ 339.261,00"
Paraná-PR,1,1,São Paulo-SP,7.635,7.635,100,"R$ 167.434,59","R$ 296.420,00"
Ceará-CE,1,1,Santos-SP,17.047,17.529,97,"R$ 52.139,82","R$ 169.435,00"
Vasco-RJ,3,1,Chapecoense-SC,8.375,9.392,89,"R$ -35.256,76","R$ 178.970,00"
Internacional-RS,0,0,Palmeiras-SP,38.979,38.979,100,"R$ 953.116,26","R$ 1.241.702,50"
Vitória-BA,1,0,Atlético Mineiro-MG,5.954,6.564,91,"R$ 1.587,97","R$ 58.782,00"
América Mineiro-MG,2,2,Flamengo-RJ,10.294,10.364,99,"R$ 20.563,28","R$ 166.008,00"
São Paulo-SP,1,0,Ceará-CE,57.323,59.263,97,"R$ 2.118.120,05","R$ 2.666.528,50"
Botafogo-RJ,2,0,Sport-PE,5.566,5.899,94,"R$ -330.149,99","R$ 43.980,00"
Cruzeiro-MG,2,1,Fluminense-RJ,11.38,11.407,100,"R$ 80.325,51","R$ 158.575,00"
Corinthians-SP,1,0,Paraná-PR,28.136,28.136,100,"R$ 596.730,49","R$ 1.019.205,58"
Athletico Paranaense-PR,2,1,Grêmio-RS,12.188,12.188,100,"R$ 107.472,09","R$ 349.830,00"
Santos-SP,2,0,Bahia-BA,11.564,11.564,100,"R$ 46.007,25","R$ 201.458,00"
Chapecoense-SC,1,2,Palmeiras-SP,3.958,3.958,100,"R$ 116.938,40","R$ 186.015,00"
Cruzeiro-MG,0,0,Internacional-RS,12.225,12.254,100,"R$ 128.483,61","R$ 217.050,00"
Sport-PE,1,0,Paraná-PR,7.956,7.956,100,"R$ 26.934,54","R$ 88.950,00"
São Paulo-SP,1,1,Fluminense-RJ,49.348,52.928,93,"R$ 1.428.792,42","R$ 1.881.675,00"
Athletico Paranaense-PR,2,0,Bahia-BA,11.471,11.471,100,"R$ 13.595,23","R$ 238.580,00"
Flamengo-RJ,0,1,Ceará-CE,55.147,55.55,99,"R$ 551.313,85","R$ 1.860.048,00"
Corinthians-SP,1,1,Atlético Mineiro-MG,29.371,29.371,100,"R$ 628.107,35","R$ 1.059.954,90"
Vasco-RJ,0,3,Santos-SP,31.666,32.422,98,"R$ -46.101,74","R$ 871.670,00"
Grêmio-RS,4,0,Botafogo-RJ,14.852,14.852,100,"R$ 425.282,83","R$ 538.966,00"
Vitória-BA,1,0,América Mineiro-MG,11.799,13.356,88,"R$ 57.562,20","R$ 130.653,50"
América Mineiro-MG,2,1,Vasco-RJ,4.447,6.091,73,"R$ -57.916,24","R$ 48.329,00"
Santos-SP,0,0,Grêmio-RS,13.238,13.238,100,"R$ -12.971,62","R$ 385.134,00"
Fluminense-RJ,0,0,Vitória-BA,8.297,9.555,87,"R$ -289.077,72","R$ 170.930,00"
Internacional-RS,2,1,Flamengo-RJ,30.389,30.389,100,"R$ 569.992,10","R$ 842.060,00"
Atlético Mineiro-MG,1,0,São Paulo-SP,18.688,20.005,93,"R$ 221.907,99","R$ 312.455,00"
Palmeiras-SP,2,0,Athletico Paranaense-PR,24.601,24.601,100,"R$ 669.671,32","R$ 1.263.083,14"
Paraná-PR,1,1,Chapecoense-SC,2.239,2.239,100,"R$ -40.503,19","R$ 34.480,00"
Ceará-CE,2,1,Corinthians-SP,39.112,39.934,98,"R$ 727.170,95","R$ 1.100.839,00"
Botafogo-RJ,1,1,Cruzeiro-MG,5.32,6.303,84,"R$ -270.410,95","R$ 70.240,00"
Bahia-BA,2,0,Sport-PE,13.816,14.032,99,"R$ 37.809,19","R$ 210.104,00"
Atlético Mineiro-MG,3,1,Athletico Paranaense-PR,18.099,19.057,95,"R$ 209.077,07","R$ 293.068,00"
Vitória-BA,1,0,Vasco-RJ,10.092,11.583,87,"R$ 28.072,02","R$ 96.348,00"
Paraná-PR,0,2,Santos-SP,4.504,4.504,100,"R$ 42.262,28","R$ 154.300,00"
Internacional-RS,1,0,Grêmio-RS,40.348,40.348,100,"R$ 1.072.498,58","R$ 1.375.621,00"
Palmeiras-SP,1,0,Corinthians-SP,38.568,38.568,100,"R$ 1.988.036,43","R$ 2.781.213,42"
Fluminense-RJ,1,0,Botafogo-RJ,10.031,10.684,94,"R$ -269.518,13","R$ 231.090,00"
América Mineiro-MG,0,0,Ceará-CE,3.641,5.41,67,"R$ -65.010,17","R$ 36.625,00"
Flamengo-RJ,2,0,Chapecoense-SC,28.983,30.071,96,"R$ -191.212,75","R$ 739.360,00"
São Paulo-SP,1,0,Bahia-BA,43.555,47.769,91,"R$ 1.282.305,01","R$ 1.696.417,50"
Sport-PE,0,0,Cruzeiro-MG,5.099,5.099,100,"R$ 3.420,00","R$ 53.860,00"
Chapecoense-SC,2,1,Internacional-RS,16.225,16.225,100,"R$ 698.066,22","R$ 847.505,00"
Corinthians-SP,2,1,Sport-PE,20.901,20.901,100,"R$ 346.320,05","R$ 731.299,30"
Santos-SP,0,0,São Paulo-SP,13.488,13.488,100,"R$ 96.707,14","R$ 276.596,00"
Bahia-BA,1,1,Palmeiras-SP,24.495,24.613,100,"R$ 408.179,90","R$ 671.382,00"
Athletico Paranaense-PR,3,1,Fluminense-RJ,9.872,9.872,100,"R$ -13.179,81","R$ 199.670,00"
Cruzeiro-MG,0,0,Atlético Mineiro-MG,21.675,21.723,100,"R$ 599.172,67","R$ 1.034.262,00"
Botafogo-RJ,1,0,América Mineiro-MG,23.089,23.812,97,"R$ -144.932,22","R$ 222.515,00"
Vasco-RJ,1,1,Flamengo-RJ,54.288,54.288,100,"R$ 500.000,00","R$ 2.902.950,00"
Grêmio-RS,2,0,Paraná-PR,19.278,19.278,100,"R$ 390.483,73","R$ 498.716,00"
Ceará-CE,2,0,Vitória-BA,31.502,32.783,96,"R$ 191.345,11","R$ 399.507,00"
